date,coding,month
01-01-2024,yes,janury
02-01-2024,yes,janury
03-01-2024,yes,janury
04-01-2024,yes,janury
05-01-2024,yes,janury
06-01-2024,yes,janury
07-01-2024,yes,janury
08-01-2024,yes,janury
09-01-2024,yes,janury
10-01-2024,yes,janury
11-01-2024,yes,janury
12-01-2024,yes,janury
13-01-2024,yes,janury
14-01-2024,yes,janury
15-01-2024,yes,janury
16-01-2024,yes,janury
17-01-2024,yes,janury
18-01-2024,yes,janury
19-01-2024,yes,janury
20-01-2024,yes,janury
21-01-2024,yes,janury
22-01-2024,yes,janury
23-01-2024,yes,janury
01-02-2024,yes,February
02-02-2024,yes,February
03-02-2024,yes,February
04-02-2024,yes,February
05-02-2024,yes,February
06-02-2024,yes,February
07-02-2024,yes,February
08-02-2024,yes,February
09-02-2024,yes,February
10-02-2024,yes,February
11-02-2024,yes,February
12-02-2024,yes,February
13-02-2024,yes,February
14-02-2024,yes,February
15-02-2024,yes,February
01-03-2024,yes,March
02-03-2024,yes,March
03-03-2024,yes,March
04-03-2024,yes,March
05-03-2024,yes,March
06-03-2024,yes,March
07-03-2024,yes,March
08-03-2024,yes,March
09-03-2024,yes,March
10-03-2024,yes,March
11-03-2024,yes,March
12-03-2024,yes,March
13-03-2024,yes,March
14-03-2024,yes,March
15-03-2024,yes,March
16-03-2024,yes,March
17-03-2024,yes,March
18-03-2024,yes,March
19-03-2024,yes,March
20-03-2024,yes,March
21-03-2024,yes,March
22-03-2024,yes,March
23-03-2024,yes,March
24-03-2024,yes,March
25-03-2024,yes,March
26-03-2024,yes,March
27-03-2024,yes,March
28-03-2024,yes,March
29-03-2024,yes,March