date,cycling,reading,coding,yoga,comments,month
01-01-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,January
02-01-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,January
03-01-2024,yes,yes,yes,yes,3km cycling-2h reading-2h coding-30min yoga,January
04-01-2024,yes,yes,yes,yes,1km cycling-2h reading-3h coding-30min yoga,January
05-01-2024,yes,yes,yes,yes,2km cycling-2h reading-3h coding-1h yoga,January
06-01-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,January
07-01-2024,yes,yes,yes,yes,2km cycling-2h reading-3h coding-30min yoga,January
08-01-2024,yes,yes,yes,yes,1km cycling-3h reading-3h coding-30min yoga,January
09-01-2024,yes,yes,,yes,3km cycling-4h reading-1h yoga,January
10-01-2024,yes,yes,,yes,2km cycling-2h reading-45min yoga,January
11-01-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,January
12-01-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,January
13-01-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,January
14-01-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,January
15-01-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,January
16-01-2024,yes,yes,,yes,3km cycling-4h reading-1h yoga,January
17-01-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,January
18-01-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,January
19-01-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,January
20-01-2024,yes,,yes,yes,3km cycling-3h coding-1h yoga,January
21-01-2024,yes,,yes,yes,3km cycling-3h coding-1h yoga,January
22-01-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,January
23-01-2024,yes,,yes,yes,3km cycling-3h coding-1h yoga,January
01-02-2024,yes,yes,yes,yes,1km cycling-4h reading-3h coding-45min yoga,February
02-02-2024,yes,,yes,yes,3km cycling-3h coding-1h yoga,February
03-02-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,February
04-02-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,February
05-02-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,February
06-02-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,February
07-02-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,February
08-02-2024,yes,,yes,yes,3km cycling-3h coding-1h yoga,February
09-02-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,February
10-02-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,February
11-02-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,February
12-02-2024,yes,yes,yes,,3km cycling-4h reading-3h coding,February
13-02-2024,yes,yes,yes,,3km cycling-4h reading-3h coding,February
14-02-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,February
15-02-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,February
01-03-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-45min yoga,March
02-03-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-45min yoga,March
03-03-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-45min yoga,March
04-03-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-45min yoga,March
05-03-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-45min yoga,March
06-03-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-45min yoga,March
07-03-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-45min yoga,March
08-03-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-45min yoga,March
09-03-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-45min yoga,March
10-03-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-45min yoga,March
11-03-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-45min yoga,March
12-03-2024,,yes,yes,yes,3h reading-4h coding-45min yoga,March
13-03-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-45min yoga,March
14-03-2024,yes,yes,,yes,2km cycling-3h reading-45min yoga,March
15-03-2024,yes,yes,,yes,2km cycling-3h reading-45min yoga,March
16-03-2024,,yes,yes,yes,3h reading-4h coding-45min yoga,March
17-03-2024,,yes,yes,yes,3h reading-4h coding-45min yoga,March
18-03-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-45min yoga,March
19-03-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-45min yoga,March
20-03-2024,yes,yes,,yes,2km cycling-3h reading-45min yoga,March
21-03-2024,yes,yes,yes,yes,3km cycling-4h reading-4h coding-45min yoga,March
22-03-2024,yes,yes,yes,yes,3km cycling-4h reading-4h coding-45min yoga,March
23-03-2024,yes,yes,yes,yes,3km cycling-4h reading-4h coding-45min yoga,March
24-03-2024,yes,yes,yes,yes,3km cycling-4h reading-4h coding-45min yoga,March
25-03-2024,yes,yes,yes,yes,3km cycling-4h reading-4h coding-45min yoga,March
26-03-2024,yes,yes,yes,yes,3km cycling-4h reading-4h coding-45min yoga,March
27-03-2024,yes,yes,yes,yes,3km cycling-4h reading-4h coding-45min yoga,March
28-03-2024,yes,yes,yes,yes,3km cycling-4h reading-4h coding-45min yoga,March
29-03-2024,yes,yes,yes,yes,3km cycling-4h reading-4h coding-45min yoga,March
01-04-2024,yes,yes,yes,yes,3km cycling-4h reading-4h coding-45min yoga,April
02-04-2024,yes,yes,yes,yes,3km cycling-4h reading-4h coding-45min yoga,April
03-04-2024,yes,yes,yes,yes,3km cycling-4h reading-4h coding-45min yoga,April
04-04-2024,yes,yes,yes,yes,3km cycling-4h reading-4h coding-45min yoga,April
05-04-2024,yes,yes,yes,yes,3km cycling-4h reading-4h coding-45min yoga,April
06-04-2024,yes,yes,yes,yes,3km cycling-4h reading-4h coding-45min yoga,April
07-04-2024,yes,yes,yes,yes,3km cycling-4h reading-4h coding-45min yoga,April
08-04-2024,yes,yes,yes,yes,3km cycling-4h reading-4h coding-45min yoga,April
09-04-2024,yes,yes,yes,yes,3km cycling-4h reading-4h coding-45min yoga,April
10-04-2024,yes,yes,yes,yes,3km cycling-4h reading-4h coding-45min yoga,April
11-04-2024,yes,yes,yes,yes,3km cycling-4h reading-4h coding-45min yoga,April
12-04-2024,,yes,yes,yes,4h reading-4h coding-45min yoga,April
13-04-2024,yes,yes,yes,yes,3km cycling-4h reading-4h coding-45min yoga,April
14-04-2024,yes,yes,,yes,3km cycling-4h reading-45min yoga,April
15-04-2024,yes,yes,,yes,3km cycling-4h reading-45min yoga,April
16-04-2024,,yes,yes,yes,4h reading-4h coding-45min yoga,April
17-04-2024,,yes,yes,yes,4h reading-4h coding-45min yoga,April
18-04-2024,yes,yes,yes,yes,3km cycling-4h reading-4h coding-45min yoga,April
19-04-2024,yes,yes,yes,yes,3km cycling-4h reading-4h coding-45min yoga,April
20-04-2024,yes,yes,,yes,3km cycling-4h reading-45min yoga,April
21-04-2024,yes,yes,yes,yes,3km cycling-4h reading-4h coding-45min yoga,April
22-04-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-45min yoga,April
23-04-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-45min yoga,April
24-04-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-45min yoga,April
25-04-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-45min yoga,April
01-05-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-45min yoga,May
02-05-2024,yes,,yes,yes,2km cycling-4h coding-45min yoga,May
03-05-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-45min yoga,May
04-05-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-45min yoga,May
05-05-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-45min yoga,May
06-05-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-45min yoga,May
07-05-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-45min yoga,May
08-05-2024,yes,,yes,yes,2km cycling-4h coding-45min yoga,May
09-05-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-45min yoga,May
10-05-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-45min yoga,May
11-05-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-45min yoga,May
12-05-2024,yes,yes,yes,,2km cycling-3h reading-4h coding,May
13-05-2024,yes,yes,yes,,2km cycling-3h reading-4h coding,May
14-05-2024,yes,yes,yes,yes,1km cycling-3h reading-4h coding-30min yoga,May
15-05-2024,yes,yes,yes,yes,1km cycling-3h reading-4h coding-30min yoga,May
20-05-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,May
21-05-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,May
22-05-2024,yes,,yes,yes,2km cycling-4h coding-30min yoga,May
23-05-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,May
24-05-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,May
25-05-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,May
26-05-2024,yes,yes,yes,,2km cycling-3h reading-4h coding,May
27-05-2024,yes,yes,yes,,2km cycling-3h reading-4h coding,May
28-05-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,May
29-05-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,May
01-06-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,June
02-06-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,June
03-06-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,June
04-06-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,June
05-06-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,June
06-06-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,June
07-06-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,June
08-06-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,June
09-06-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,June
10-06-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,June
11-06-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,June
12-06-2024,,yes,yes,yes,3h reading-5h coding-30min yoga,June
13-06-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,June
14-06-2024,yes,yes,,yes,2km cycling-3h reading-30min yoga,June
15-06-2024,yes,yes,,yes,2km cycling-3h reading-30min yoga,June
16-06-2024,,yes,yes,yes,3h reading-5h coding-30min yoga,June
17-06-2024,,yes,yes,yes,3h reading-5h coding-30min yoga,June
18-06-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,June
19-06-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,June
20-06-2024,yes,yes,,yes,2km cycling-3h reading-30min yoga,June
21-06-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,June
01-07-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,July
02-07-2024,yes,,yes,yes,2km cycling-4h coding-30min yoga,July
03-07-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,July
04-07-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,July
05-07-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,July
06-07-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,July
07-07-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,July
08-07-2024,yes,,yes,yes,2km cycling-4h coding-30min yoga,July
09-07-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,July
10-07-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,July
11-07-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,July
12-07-2024,yes,yes,yes,,2km cycling-3h reading-4h coding,July
13-07-2024,yes,yes,yes,,2km cycling-3h reading-4h coding,July
14-07-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,July
15-07-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,July
20-07-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,July
21-07-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,July
22-07-2024,yes,,yes,yes,2km cycling-4h coding-30min yoga,July
23-07-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,July
24-07-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,July
25-07-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,July
26-07-2024,yes,yes,yes,,2km cycling-3h reading-4h coding,July
27-07-2024,yes,yes,yes,,2km cycling-3h reading-4h coding,July
28-07-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,July
29-07-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,July
01-08-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,August
02-08-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,August
03-08-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,August
04-08-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,August
05-08-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,August
06-08-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,August
07-08-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,August
08-08-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,August
09-08-2024,yes,yes,,yes,3km cycling-4h reading-1h yoga,August
10-08-2024,yes,yes,,yes,3km cycling-4h reading-1h yoga,August
11-08-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,August
12-08-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,August
13-08-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,August
14-08-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,August
15-08-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,August
16-08-2024,yes,yes,,yes,3km cycling-4h reading-1h yoga,August
17-08-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,August
18-08-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,August
19-08-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,August
20-08-2024,yes,,yes,yes,3km cycling-3h coding-1h yoga,August
21-08-2024,yes,,yes,yes,3km cycling-3h coding-1h yoga,August
22-08-2024,yes,yes,yes,yes,3km cycling-4h reading-3h coding-1h yoga,August
23-08-2024,yes,,yes,yes,3km cycling-3h coding-1h yoga,August
01-09-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,September
02-09-2024,yes,,yes,yes,2km cycling-4h coding-30min yoga,September
03-09-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,September
04-09-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,September
05-09-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,September
06-09-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,September
07-09-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,September
08-09-2024,yes,,yes,yes,2km cycling-4h coding-30min yoga,September
09-09-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,September
10-09-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,September
11-09-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,September
12-09-2024,yes,yes,yes,,2km cycling-3h reading-4h coding,September
13-09-2024,yes,yes,yes,,2km cycling-3h reading-4h coding,September
14-09-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,September
15-09-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,September
20-09-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,September
21-09-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,September
22-09-2024,yes,,yes,yes,2km cycling-4h coding-30min yoga,September
23-09-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,September
24-09-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,September
25-09-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,September
26-09-2024,yes,yes,yes,,2km cycling-3h reading-4h coding,September
27-09-2024,yes,yes,yes,,2km cycling-3h reading-4h coding,September
01-10-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,October
02-10-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,October
03-10-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,October
04-10-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,October
05-10-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,October
06-10-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,October
07-10-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,October
08-10-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,October
09-10-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,October
10-10-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,October
11-10-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,October
12-10-2024,,yes,yes,yes,3h reading-5h coding-30min yoga,October
13-10-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,October
14-10-2024,yes,yes,,yes,2km cycling-3h reading-30min yoga,October
15-10-2024,yes,yes,,yes,2km cycling-3h reading-30min yoga,October
16-10-2024,,yes,yes,yes,3h reading-5h coding-30min yoga,October
17-10-2024,,yes,yes,yes,3h reading-5h coding-30min yoga,October
18-10-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,October
19-10-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,October
20-10-2024,yes,yes,,yes,2km cycling-3h reading-30min yoga,October
21-10-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,October
22-10-2024,yes,yes,,yes,2km cycling-3h reading-30min yoga,October
23-10-2024,yes,yes,yes,yes,2km cycling-3h reading-5h coding-30min yoga,October
01-11-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,November
02-11-2024,yes,,yes,yes,2km cycling-4h coding-30min yoga,November
03-11-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,November
04-11-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,November
05-11-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,November
06-11-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,November
07-11-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,November
08-11-2024,yes,,yes,yes,2km cycling-4h coding-30min yoga,November
09-11-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,November
10-11-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,November
11-11-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,November
12-11-2024,yes,yes,yes,,2km cycling-3h reading-4h coding,November
13-11-2024,yes,yes,yes,,2km cycling-3h reading-4h coding,November
14-11-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,November
15-11-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,November
21-11-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,November
22-11-2024,yes,,yes,yes,2km cycling-4h coding-30min yoga,November
23-11-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,November
24-11-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,November
25-11-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,November
26-11-2024,yes,yes,yes,,2km cycling-3h reading-4h coding,November
27-11-2024,yes,yes,yes,,2km cycling-3h reading-4h coding,November
28-11-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,November
29-11-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,November
01-12-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,December
02-12-2024,yes,,yes,yes,2km cycling-4h coding-30min yoga,December
03-12-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,December
04-12-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,December
05-12-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,December
06-12-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,December
07-12-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,December
08-12-2024,yes,,yes,yes,2km cycling-4h coding-30min yoga,December
09-12-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,December
10-12-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,December
11-12-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,December
12-12-2024,yes,yes,yes,,2km cycling-3h reading-4h coding,December
13-12-2024,yes,yes,yes,,2km cycling-3h reading-4h coding,December
14-12-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,December
15-12-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,December
22-12-2024,yes,,yes,yes,2km cycling-4h coding-30min yoga,December
23-12-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,December
24-12-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,December
25-12-2024,yes,yes,yes,yes,2km cycling-3h reading-4h coding-30min yoga,December
26-12-2024,yes,yes,yes,,2km cycling-3h reading-4h coding,December
27-12-2024,yes,yes,yes,,2km cycling-3h reading-4h coding,December